id,Nombre,Plataforma,Marca,Puntuacion_usuario
3538,Spyro Orange: The Cortex Conspiracy,GameBoyAdvance,Nintendo,61.0
3539,Warlocks 2: God Slayers,Switch,Nintendo,61.0
3540,Pinball FX3,PlayStation4,PlayStation,61.0
3541,Cake Mania,DS,Nintendo,61.0
3542,The Elder Scrolls Online: Morrowind,XboxOne,Xbox,61.0
3543,Fury Unleashed,PlayStation4,PlayStation,61.0
3544,Crash of the Titans,Wii,Nintendo,61.0
3545,The Legend of Spyro: A New Beginning,DS,Nintendo,61.0
3546,AirBlade,PlayStation2,PlayStation,61.0
3547,Grow Home,PlayStation4,PlayStation,61.0
3548,SingStar Celebration,PlayStation4,PlayStation,61.0
3549,Create,PC,PC_Gamer,61.0
3550,Children of Mana,DS,Nintendo,61.0
3551,Madden NFL 11,PlayStation3,PlayStation,61.0
3552,Eternal Ring,PlayStation2,PlayStation,61.0
3553,Control: The Foundation,PC,PC_Gamer,61.0
3554,Serious Sam: The Random Encounter,PC,PC_Gamer,61.0
3555,NHL 2K6,Xbox360,Xbox,61.0
3556,Battle Fantasia,PlayStation3,PlayStation,61.0
3557,WarTech: Senko no Ronde,Xbox360,Xbox,61.0
3558,Dead Island: Riptide,PC,PC_Gamer,61.0
3559,Blacklight: Retribution,PlayStation4,PlayStation,61.0
3560,The Flame in the Flood: Complete Edition,PlayStation4,PlayStation,61.0
3561,Operencia: The Stolen Sun,PC,PC_Gamer,61.0
3562,Lemony Snicket's A Series of Unfortunate Events,PlayStation2,PlayStation,61.0
3563,Tiger Woods PGA Tour 14,Xbox360,Xbox,61.0
3564,The Lord of the Rings: Aragorn's Quest,PlayStation3,PlayStation,61.0
3565,Ridge Racer Unbounded,PC,PC_Gamer,61.0
3566,Cel Damage HD,PlayStation4,PlayStation,61.0
3567,The Devil Inside,PC,PC_Gamer,61.0
3568,Othercide,XboxOne,Xbox,61.0
3569,Regalia: Of Men and Monarchs - Royal Edition,Switch,Nintendo,61.0
3570,Mercenaries 2: World in Flames,PC,PC_Gamer,61.0
3571,Resident Evil 3,XboxOne,Xbox,61.0
3572,Disney Infinity,PlayStation3,PlayStation,61.0
3573,Unruly Heroes,XboxOne,Xbox,61.0
3574,Def Jam Rapstar,Xbox360,Xbox,61.0
3575,Dead to Rights,PC,PC_Gamer,61.0
3576,Malicious Fallen,PlayStation4,PlayStation,61.0
3577,The Sims 3: Island Paradise,PC,PC_Gamer,61.0
3578,Tower of Guns,XboxOne,Xbox,61.0
3579,Star Wars Jedi Knight II: Jedi Outcast,Xbox,Xbox,61.0
